date,feature,users_adopted,total_users
25-07-2025,Dark Mode,3694,5205
25-07-2025,Export Report,2424,5205
25-07-2025,Advanced Filters,1688,5205
25-07-2025,Mobile App,2994,5205
25-07-2025,API Integration,817,5205
25-07-2025,Collaborative Editing,1907,5205
26-07-2025,Dark Mode,3751,5403
26-07-2025,Export Report,2457,5403
26-07-2025,Advanced Filters,1751,5403
26-07-2025,Mobile App,3224,5403
26-07-2025,API Integration,730,5403
26-07-2025,Collaborative Editing,1977,5403
27-07-2025,Dark Mode,3568,5114
27-07-2025,Export Report,2301,5114
27-07-2025,Advanced Filters,1399,5114
27-07-2025,Mobile App,2933,5114
27-07-2025,API Integration,786,5114
27-07-2025,Collaborative Editing,2238,5114
28-07-2025,Dark Mode,3784,5324
28-07-2025,Export Report,2284,5324
28-07-2025,Advanced Filters,1595,5324
28-07-2025,Mobile App,2685,5324
28-07-2025,API Integration,808,5324
28-07-2025,Collaborative Editing,2130,5324
29-07-2025,Dark Mode,3428,5029
29-07-2025,Export Report,2376,5029
29-07-2025,Advanced Filters,1453,5029
29-07-2025,Mobile App,2756,5029
29-07-2025,API Integration,723,5029
29-07-2025,Collaborative Editing,1914,5029
30-07-2025,Dark Mode,3245,5217
30-07-2025,Export Report,2372,5217
30-07-2025,Advanced Filters,1409,5217
30-07-2025,Mobile App,2744,5217
30-07-2025,API Integration,842,5217
30-07-2025,Collaborative Editing,2125,5217
31-07-2025,Dark Mode,3049,5008
31-07-2025,Export Report,2288,5008
31-07-2025,Advanced Filters,1398,5008
31-07-2025,Mobile App,2675,5008
31-07-2025,API Integration,780,5008
31-07-2025,Collaborative Editing,2027,5008
01-08-2025,Dark Mode,3136,4984
01-08-2025,Export Report,2353,4984
01-08-2025,Advanced Filters,1510,4984
01-08-2025,Mobile App,2715,4984
01-08-2025,API Integration,698,4984
01-08-2025,Collaborative Editing,2048,4984
02-08-2025,Dark Mode,3076,4545
02-08-2025,Export Report,2217,4545
02-08-2025,Advanced Filters,1300,4545
02-08-2025,Mobile App,2435,4545
02-08-2025,API Integration,691,4545
02-08-2025,Collaborative Editing,1956,4545
03-08-2025,Dark Mode,3414,4852
03-08-2025,Export Report,2346,4852
03-08-2025,Advanced Filters,1456,4852
03-08-2025,Mobile App,2635,4852
03-08-2025,API Integration,704,4852
03-08-2025,Collaborative Editing,2025,4852
04-08-2025,Dark Mode,3293,5400
04-08-2025,Export Report,2571,5400
04-08-2025,Advanced Filters,1605,5400
04-08-2025,Mobile App,2852,5400
04-08-2025,API Integration,791,5400
04-08-2025,Collaborative Editing,2313,5400
05-08-2025,Dark Mode,3245,5105
