date,dau,mau,new_users,returning_users,churned_users,sessions,avg_session_duration_min
25-07-2025,4874,21692,600,4274,823,8071,9.09
26-07-2025,3206,13997,353,2853,577,4874,14.79
27-07-2025,3770,13995,257,3513,356,6801,11.67
28-07-2025,5005,18975,556,4449,458,8969,10.56
29-07-2025,5055,21661,353,4702,767,10577,8.33
30-07-2025,5235,19215,295,4940,931,12907,13.66
31-07-2025,4948,17801,585,4363,591,8025,11.47
01-08-2025,4693,20692,356,4337,825,8502,11.64
02-08-2025,3674,13538,539,3135,585,8962,14.26
03-08-2025,3729,16489,219,3510,426,5762,10.28
04-08-2025,5133,19358,682,4451,594,9141,11.8
05-08-2025,4896,21063,281,4615,1044,11124,9.39
06-08-2025,4775,20606,576,4199,862,10845,8.52
07-08-2025,5174,18708,705,4469,723,9473,8.44
08-08-2025,5147,19688,632,4515,770,12286,11.31
09-08-2025,3476,14645,438,3038,539,7893,11.46
10-08-2025,3797,14912,199,3598,346,5814,12.45
11-08-2025,5223,20936,735,4488,575,9977,13.29
12-08-2025,5154,18435,407,4747,457,12522,13.66
13-08-2025,5621,24571,732,4889,628,13448,11.78
14-08-2025,5838,25664,477,5361,598,10087,10.99
15-08-2025,5876,25623,297,5579,905,11266,9.55
16-08-2025,3589,13773,517,3072,409,7245,12.92
17-08-2025,3796,16974,555,3241,467,7581,10.11
18-08-2025,5359,18954,594,4765,664,8314,9.95
19-08-2025,6084,22751,392,5692,789,15122,9.69
20-08-2025,5844,24904,431,5413,1042,10915,12.43
21-08-2025,5826,23512,343,5483,1059,10607,9.31
22-08-2025,5176,21174,609,4567,434,10414,9.59
23-08-2025,4123,15149,491,3632,478,10046,8.96
24-08-2025,3897,14081,555,3342,652,6850,12.62
25-08-2025,6141,24902,632,5509,678,9783,14.28
26-08-2025,6264,25889,525,5739,789,13943,14.28
27-08-2025,6275,26856,716,5559,604,10426,14.29
28-08-2025,5974,20963,359,5615,836,8991,9.13
29-08-2025,5932,24866,683,5249,664,13122,9.66
30-08-2025,3985,16922,458,3527,769,8598,11.98
31-08-2025,3810,14735,291,3519,402,9422,10.75
01-09-2025,6416,26505,830,5586,929,13325,11.45
02-09-2025,5610,23687,438,5172,491,12036,9.24
03-09-2025,6528,29075,923,5605,904,9892,14.5
04-09-2025,5938,26522,869,5069,1209,10655,10.7
05-09-2025,6474,24710,433,6041,906,15771,12.87
06-09-2025,4312,15511,480,3832,770,7072,11.63
07-09-2025,4592,19473,549,4043,799,8538,10.06
08-09-2025,6503,28028,889,5614,1328,13079,11.51
09-09-2025,6516,27041,783,5733,1186,15573,10.37
10-09-2025,6021,21639,649,5372,456,11834,11.8
11-09-2025,5935,24279,314,5621,512,13784,10.52
12-09-2025,5760,23168,731,5029,613,12227,8.6
13-09-2025,3982,16052,414,3568,628,8864,14.83
14-09-2025,4406,16843,570,3836,473,8543,8.55
15-09-2025,5701,25441,761,4940,1040,10882,9.21
16-09-2025,5890,22088,617,5273,915,12723,9.96
17-09-2025,6927,29355,730,6197,1125,13297,9.73
18-09-2025,6191,26360,318,5873,618,9571,8.29
19-09-2025,6854,28811,667,6187,660,13650,11.31
20-09-2025,4203,16533,377,3826,636,8973,8.32
21-09-2025,4401,18157,441,3960,829,9500,9.14
22-09-2025,5918,24514,311,5607,921,14441,12.03
23-09-2025,6354,26326,608,5746,957,15513,10.7
24-09-2025,7126,31392,495,6631,693,11407,8.13
25-09-2025,6018,25173,343,5675,744,14111,8.16
26-09-2025,6988,26427,431,6557,1080,14877,14.14
27-09-2025,4837,20815,378,4459,527,10886,13.65
28-09-2025,5092,19923,444,4648,862,9373,14.52
29-09-2025,7126,27998,891,6235,1193,11423,14.32
30-09-2025,6682,28909,547,6135,1354,12623,8.08
01-10-2025,7243,26011,593,6650,1261,17749,12.01
02-10-2025,6902,27252,547,6355,813,14994,13.27
03-10-2025,7143,30640,422,6721,1067,11125,11.85
04-10-2025,4687,20565,398,4289,483,7700,13.33
05-10-2025,4872,17544,284,4588,719,7662,13.75
06-10-2025,7106,25449,415,6691,1262,13318,10.59
07-10-2025,7278,32367,1081,6197,1378,13655,8.58
08-10-2025,7256,29447,670,6586,1389,11690,11.45
09-10-2025,6225,24704,346,5879,582,10069,12.54
10-10-2025,7265,29665,1062,6203,926,12973,14.08
11-10-2025,4596,20512,235,4361,1007,7092,14.24
12-10-2025,4909,22055,281,4628,807,12121,11.66
13-10-2025,7181,30129,685,6496,1169,14967,14.31
14-10-2025,6386,24145,926,5460,1127,12488,12.34
15-10-2025,6736,24843,649,6087,760,14035,8.54
16-10-2025,7746,34750,928,6818,1253,14016,13.7
17-10-2025,7362,26964,1038,6324,1204,18035,13.08
18-10-2025,5100,19983,730,4370,918,7880,8.18
19-10-2025,4881,21039,725,4156,515,10221,10.67
20-10-2025,7849,34081,1050,6799,1160,15029,9.91
21-10-2025,6561,28636,861,5700,1431,16380,11.89
22-10-2025,7613,33838,1027,6586,927,14849,8.9
